@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,source-id,fund-acr,fund-no,fund-sponsor,openaccess,openaccessFlag,entry_number,dc:description,freetoread.value.$,freetoreadLabel.value.$
true,https://api.elsevier.com/content/abstract/scopus_id/0022846168,SCOPUS_ID:0022846168,2-s2.0-0022846168,Power and efficiency as indexes of fitness in metabolic organization.,Watt W.,American Naturalist,00030147,127,5,629-653,1986-01-01,1986,10.1086/284510,40,Journal,ar,Article,100,1,1,12604,NA,undefined,NA,0,FALSE,31,"Bioenergetics, the study of energy flow through organisms, is a useful context for the evolutionary studies of metabolic organization. The far-from-equilibrium nature of living systems requires criteria of metabolic function not drawn from inappropriate equilibrium-machine analogies. Energy processing by organisms is divided into the production of metabolic 'currencies' from food input (ie metabolic processing) and the allocation of such currency to fitness-related activities. Analysis of mechanisms affecting metabolic processing power (rate of production of currency) and efficiency (currency produced per unit input) shows that, although selection can act on each of these measures independently, these measures will often covary positively, since they are both promoted by the same kinetic adjustments. -from Author",NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0022845654,SCOPUS_ID:0022845654,2-s2.0-0022845654,Selective abortion of entire litters in the coypu: adaptive control of offspring production in relation to quality and sex.,Gosling L.,American Naturalist,00030147,127,6,772-795,1986-01-01,1986,10.1086/284524,83,Journal,ar,Article,100,1,1,12604,NA,undefined,NA,0,FALSE,32,"Young female Myocastor coypus in better than average physical condition and expected to litter in the summer abort small litters of predominantly female embryos at around wk 13-14 of the 19-wk gestation period. Large litters and small, predominantly male litters are retained, and parturition follows normally. Females conceive soon after selective abortion, and the new litter is significantly larger than that aborted: 5.82 (+ or - 2.07 SD) as opposed to 4.17 (+ or - 1.74). Neonate size is positively correlated with female condition (and body size) and inversely related to litter size. The differences in body size at birth are carried through to differences in adult size. Data are consistent with the hypothesis that when females are in above-average condition, it would pay them to invest preferentially in offspring of the sex whose chances of future RS will benefit most. Males would be expected to benefit most in the coypu and other species that have polygynous mating systems. Females that abort small, predominately female litters (with large embryos) abandon offspring that would continue to be costly during the last 6 wk of pregnancy and during the 8-wk lactation period but that would pay off, in fitness terms, little better than small females; instead, they invest their large fat reserves in the production of a larger litter. -from Author",NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0022845596,SCOPUS_ID:0022845596,2-s2.0-0022845596,Measuring diffuse competition along an environmental gradient: results from a shoreline plant community.,Wilson S.,American Naturalist,00030147,127,6,862-869,1986-01-01,1986,10.1086/284530,177,Journal,ar,Article,100,2,2,12604,NA,undefined,NA,0,FALSE,33,"Tested whether diffuse competition is correlated with standing crop and organic-matter content in the soil of a lakeshore plant community. Diffuse competition was correlated significantly and positively with both of these factors. Standing crop was correlated positively with organic-matter content in the soil, suggesting that a general measure of habitat productivity may be indirectly related to the intensity of diffuse competition.-from Authors",NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0022845170,SCOPUS_ID:0022845170,2-s2.0-0022845170,Density-dependent rates of population growth: estimation in laboratory populations.,Mueller L.D.,American Naturalist,00030147,128,2,282-293,1986-01-01,1986,10.1086/284560,14,Journal,ar,Article,100,1,1,12604,NA,undefined,NA,0,FALSE,34,"The fecundity of Drosophila in the laboratory depends on the level of crowding during the larval stage. The function describing the number of adults produced by an initial number of eggs is not one-to-one. Consequently, the population dynamics determined from adult-to-adult transitions are likely to be biased. This result has questioned the general conclusion that laboratory populations of Drosophila have asymptotically stable population dynamics, since these observations are based on adult-to-adult transitions. Prout and McChesney's (1985) data indicate that eigenvalues less than -1 may occur in laboratory populations of Drosophila. Reexamination of their data actually supports the notion that laboratory populations of Drosophila have stable dynamics. For populations of Drosophila kept in the serial-transfer system, the 2 currently practiced methods for determining population stability are not equivalent. -from Author",NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0022844226,SCOPUS_ID:0022844226,2-s2.0-0022844226,Life history variation in Geranium carolinianum. I. Covariation between characters at different stages of the life cycle.,Roach D.,American Naturalist,00030147,128,1,47-57,1986-01-01,1986,10.1086/284538,37,Journal,ar,Article,100,1,1,12604,NA,undefined,NA,0,FALSE,35,"Seeds of Geranium carolinianum were collected according to common female parent from 3 populations, then planted back in a randomized block design into one of the original populations. Individuals were harvested at early juvenile, late juvenile and adult stages, and the same traits were measured at each life stage. Genetic correlations measured between early juvenile and adult traits were negative, and the genetic correlations of age-specific characters with fecundity changed during the life cycle and became positive later in life. Positive phenotypic correlations were found between these same characters. -from Author",NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0022842150,SCOPUS_ID:0022842150,2-s2.0-0022842150,Canalization versus developmental conversion in a spatially variable environment.,Lively C.,American Naturalist,00030147,128,4,561-572,1986-01-01,1986,10.1086/284588,192,Journal,ar,Article,100,1,1,12604,NA,undefined,NA,0,FALSE,36,"Individuals are assumed to disperse at random into 1 of 2 patches (one harsh, one benign) and use 1 of 3 developmental strategies for the production of 1 of 2 discrete morphological types. Two of the strategies are unconditional (develop as either the stress-tolerant or the non-tolerant morph); the 3rd strategy depends on the environment. Invasion criteria are used to determine the conditions under which each of the 3 pure strategies are evolutionarily stable and the conditions under which the population is expected to contain some mixture of these strategies at equilibrium. Environmental control of development requires a cost to the stress tolerant morphology. Average probability of making the right choice is >50%. The range of patch frequencies over which environmental control is stable increases with increases in these 2 parameters. Two morphs may be maintained by a mixture of unconditional strategies (ie genetically determined polymorphism) for a narrow range of patch frequencies. The genetically determined dimorphism requires for its maintenance that the morphs compete within the patches for resources. -from Authors",NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0022841886,SCOPUS_ID:0022841886,2-s2.0-0022841886,Sex-ratio bias and possible group selection in the social spider Anelosimus eximius.,Aviles L.,American Naturalist,00030147,128,1,1-12,1986-01-01,1986,10.1086/284535,111,Journal,ar,Article,100,1,1,12604,NA,undefined,NA,0,FALSE,37,"There was no differential mortality of the sexes during the age of reproduction and no large difference in their maturation times to explain the highly female-biased sex ratios in adults. Moreover, sex ratios within the range of 0.04-0.40 males per female are already present at the earliest stage at which sexes can be distinguished in the field. The unique population structure and dynamics of this social spider possibly resulted in a change of balance between the opposing forces of group and individual selection, making evolutionarily stable a sex ratio that increases colony survival and proliferation. -from Author",NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0022840575,SCOPUS_ID:0022840575,2-s2.0-0022840575,The use of multidimensional scaling to determine principal resource axes.,Gray L.,American Naturalist,00030147,127,5,577-592,1986-01-01,1986,10.1086/284506,2,Journal,ar,Article,100,2,2,12604,NA,undefined,NA,0,FALSE,38,The technique can uncover consistent dimensions that influence animals in selecting from among an array of choices. The necessary input data are measures of the extent to which animals perceive all possible pairs of choices as similar or different. -from Authors,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0022840504,SCOPUS_ID:0022840504,2-s2.0-0022840504,"Carnivore life history patterns: allometric, phylogenetic, and ecological associations.",Gittleman J.L.,American Naturalist,00030147,127,6,744-771,1986-01-01,1986,10.1086/284523,158,Journal,ar,Article,100,1,1,12604,NA,undefined,NA,0,FALSE,39,"After size effects were removed, significant differences between taxonomic families were found for most of the 8 examined life history traits. At the family level, most life histories do not correlate with ecological factors; some differences do exist, however; in Canidae, dietetic differences are associated with variation in birth weight, gestation length, and weaning age; in Canidae ad Felidae, vegetational effects are observed with litter weight and, in the Mustelidae, with onset of sexual maturity. - from Author",NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0022839608,SCOPUS_ID:0022839608,2-s2.0-0022839608,Avian communal roosting: implications of diurnal activity centers.,Caccamise D.,American Naturalist,00030147,128,2,191-198,1986-01-01,1986,10.1086/284553,49,Journal,ar,Article,100,2,2,12604,NA,undefined,NA,0,FALSE,40,"A recent radiotelemetric study of communally roosting starlings Sturnus vulgaris revealed that individuals are far more faithful to their diurnal activity centers (DAC's) than to their roosts. Studies of other communally roosting species have suggested that DAC's are probably not unique to starlings. Such findings have important implications for both foraging-based and predation-based interpretations of communal roosting. Studies of starlings suggest that foraging factors were of primary importance in the evolution of both DAC's and communal roosting. Foraging daily on a familiar DAC may have benefits similar to those of holding a territory. Although DAC-based birds probably join small communal roosts near their DAC's to reduce the risk of nocturnal predation, they join much larger, more distant roosting groups primarily to reduce commuting costs to supplemental feeding areas. Major communal roosts may simply be aggregations of individuals roosting as close as possible to especially rich feeding areas. -from Authors",NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0022838480,SCOPUS_ID:0022838480,2-s2.0-0022838480,Comparisons of parasitism and densities of Parlatoria oleae (1952- 1982) in relation to ecological theory.,Huffaker C.,American Naturalist,00030147,128,3,379-393,1986-01-01,1986,10.1086/284569,13,Journal,ar,Article,100,3,3,12604,NA,undefined,NA,0,FALSE,41,"Analyses of data on parasitism of olive parlatoria scale in California by aphelinid parasitoids, Aphytis paramaculicornis and Coccophagoides utilis, are significant to ecological theory. Only limited time-set data support a contention of behavioral density dependence for Aphytis alone, but much data fail to support behavioral density dependence. Analyses of data comparing the early years of high host densities with the later years of low densities caused by parasitoid action show a long-term density-dependent performance by Aphytis through the combined effects of the behavioral (functional) and reproductive (numerical) responses. Although data show an inverse density-dependent response for C. utilis, the net effect of the 2 species combined was also density-dependent; thus, Aphytis offset the contrary effect of Coccophagoides. The high degree of biological control depends strongly, however, on the combined supplementary actions of the 2 species.-Authors",NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0022838477,SCOPUS_ID:0022838477,2-s2.0-0022838477,The evolution of begging: sibling competition and parent- offspring conflict.,Harper A.,American Naturalist,00030147,128,1,99-114,1986-01-01,1986,10.1086/284542,144,Journal,ar,Article,100,1,1,12604,NA,undefined,NA,0,FALSE,42,"Two offspring traits are allowed to evolve: average (or typical) rate of begging and rate of change of begging intensity with changes in parental investment. Rate of change of parental investment with changes in begging intensity also can evolve. Chicks should vary their rate of begging in response to fluctuations in investment, and parents should respond to these changes so that any fluctuations in parental investment are compensated for on subsequent feeding trips. But the typical rate of begging can evolve to a high level as siblings compete for food from their parents. Typical begging intensity should vary with clutch size; the pattern of variation depends on whether the costs of begging are primarily the attraction of predators or are individual energetic costs. Species that raise just one chick at a time should show a low average begging intensity. -from Author",NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0022836480,SCOPUS_ID:0022836480,2-s2.0-0022836480,The statistical analysis of size ratios.,Tonkyn D.W.,American Naturalist,00030147,128,1,66-81,1986-01-01,1986,10.1086/284540,28,Journal,ar,Article,100,2,2,12604,NA,undefined,NA,0,FALSE,43,"Size ratios are convenient indexes of the morphological differences between species. Ratios of ranked species' sizes are ratios of successive order statistics, which are largely independent of the underlying size distribution. Probability density functions for these ratios are derived, assuming that species' sizes are independently drawn from uniform or unimodal distributions. In the absence of frequent character displacement, distributions of ratios should be negative exponential in form, with average values decreasing with increasing guild size. These predictions, which differ from those under a purely competitive model, are tested with several large data sets. Statistical analysis of ratios in small data sets, such as indiviual guilds, depends on arbitrary assumptions about the shape and end-point of the underlying size distribution. Size ratios alone are of limited explanatory power and should be supplemented with other data in studies of character displacement and community structure.-from Authors",NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0022835261,SCOPUS_ID:0022835261,2-s2.0-0022835261,"Lycaenid butterflies and ants: two-species stable equilibria in mutualistic, commensal, and parasitic interactions.",Pierce N.,American Naturalist,00030147,128,2,216-227,1986-01-01,1986,10.1086/284555,27,Journal,ar,Article,100,2,2,12604,NA,undefined,NA,0,FALSE,44,"The lycaenids affect the equilibrium density of their associated ants, whereas the ants influence both the growth rate and the equilibrium density of the butterflies. The described model can describe obligate as well as facultative relationships on the part of the lycaenids; even when the interaction is mutualistic, the model has globally stable equilibria. -from Authors",NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0022834842,SCOPUS_ID:0022834842,2-s2.0-0022834842,Analysis of paternity within a natural population of Chamaelirium luteum. 1. Identification of most-likely male parents.,Meagher T.,American Naturalist,00030147,128,2,199-215,1986-01-01,1986,10.1086/284554,229,Journal,ar,Article,100,1,1,12604,NA,undefined,NA,0,FALSE,45,The most-likely male parents were identified by using genetic markers and evaluating the statistical likelihoods of paternity for seed collected from known female parents within a natural population. -from Author,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0022834753,SCOPUS_ID:0022834753,2-s2.0-0022834753,Evolutionary interpretations of allelochemical interactions in phytoplankton algae.,Lewis W.,American Naturalist,00030147,127,2,184-194,1986-01-01,1986,10.1086/284477,70,Journal,ar,Article,100,1,1,12604,NA,undefined,NA,0,FALSE,46,"Allelochemistry involving growth suppression has often been viewed as beneficial to the releaser of allelochemicals, and thus as being maintained by selection pressures deriving from competition. This interpretation is indefensible, however, insofar as individual phytoplankton cells are unable, because of the movement of both the cells and the allelochemicals, to capture selectively the benefit of suppressing other individuals by means of allelochemicals; any such benefits would be shared by many other organisms. An alternative explanation suggests that the significance of allelochemicals lies strictly in the receptor and not the releaser: allelochemicals are significant to the receptor organisms as cues that trigger physiological responses to an improving or deteriorating environment. -from Author",NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0022834175,SCOPUS_ID:0022834175,2-s2.0-0022834175,Land- bird densities in matched habitats on six Hawaiian Islands: a test of resource-regulation theory.,Emlen J.,American Naturalist,00030147,127,2,125-139,1986-01-01,1986,10.1086/284474,1,Journal,ar,Article,100,1,1,12604,NA,undefined,NA,0,FALSE,47,"Although habitat structure and productivity at the study sites were similar from island to island, summed guild and community densities differed greatly, often by several orders of magnitude. No adequate explanation was apparent for these large differences in terms of resource abundance. A number of ecological variables, including non-avian competition for shared resources, subtle aspects of social interference among closely associated species, and differing levels of island-community equilibrium, contributed to and could explain, individually or collectively, many of the density differences recorded. These observations, together with a recognition of the crudeness of the field techniques and the inadequacy of the study samples for Type II error considerations, indicate that even the strong disparities between resource indicators and bird densities in across-island comparisons do not necessarily negate a positive resource-consumer relationship as postulated in traditional resource-regulation theory.-from Author",NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0022832396,SCOPUS_ID:0022832396,2-s2.0-0022832396,Dissection of the species-area relationship among wood-boring insects and their host plants.,Stevens G.,American Naturalist,00030147,128,1,35-46,1986-01-01,1986,10.1086/284537,34,Journal,ar,Article,100,1,1,12604,NA,undefined,NA,0,FALSE,48,"The species-area relationship between wood-boring insects and the geographic range of their host plants is derived from the tendency for wide-ranging plants to be a part of more wood-boring insect communities than plants with smaller geographic ranges. In contrast to the expectation of the area-per se hypothesis, plants in a given forest that have large geographic ranges do not show richer wood-boring insect faunas than co-occurring plants with small ranges. -from Author",NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0022831311,SCOPUS_ID:0022831311,2-s2.0-0022831311,"Two-sex models: chaos, extinction, and other dynamic consequences of sex.",Caswell H.,American Naturalist,00030147,128,5,707-735,1986-01-01,1986,10.1086/284598,127,Journal,ar,Article,100,2,2,12604,NA,undefined,NA,0,FALSE,49,"Most demographic models consider only one sex, usually the female. The widespread occurrence of sexual dimorphism in life history traits and the occurrence of skewed and fluctuating sex ratios suggest that one-sex models or those dominated by one sex may often be less appropriate than two-sex models. Reproduction in two-sex models is a frequency-dependent nonlinear function (the birth or marriage function) of the relative abundance of males and females. The population dynamics resulting from 3 different two-sex, discrete-time, population-projection models are examined. For a large class of birth functions, models without inter-stage mate competition converge to a locally stable adult sex ratio. Formulae for the stable population structure, stable sex ratio, and reproductive value at equilibrium are derived. When individuals of different stages compete for mates, the equilibrium population structure may become unstable. A sequence of bifurcations then occurs, leading to periodic oscillations, quasi-periodic fluctuations, and chaos as the intensity of competition increases. When per capita fecundity is a sigmoid function of the relative abundance of the other sex, perturbations of the sex ratio may lead to extinction. -from Authors",NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0022829444,SCOPUS_ID:0022829444,2-s2.0-0022829444,Size-dependent effects in the analysis of reproductive effort in plants.,Samson D.,American Naturalist,00030147,127,5,667-680,1986-01-01,1986,10.1086/284512,284,Journal,ar,Article,100,2,2,12604,NA,undefined,NA,0,FALSE,50,"Data from desert winter annuals and the reexamination of published work indicate that many plant populations can be characterized by a significant linear relationship between absolute reproductive biomass and vegetative biomass. The form of this allometric relationship results in variable reproductive effort (RE) with size (monotonically increasing or decreasing) in many of these species. Both increasing and decreasing RE-with-size patterns are found in both interparous and semelparous species, but theoretical expectations for such patterns in different plants remain undeveloped.-from Authors",NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0022828963,SCOPUS_ID:0022828963,2-s2.0-0022828963,Punctuated evolution induced by ecological change.,Milligan B.,American Naturalist,00030147,127,4,522-532,1986-01-01,1986,10.1086/284500,16,Journal,ar,Article,100,1,1,12604,NA,undefined,NA,0,FALSE,51,"Despite the realization that common evolutionary patterns involve rapid morphological change, theoretical discussions of the ecological conditions necessary for such transitions are rare. An understanding of such conditions must be central to a reconciliation of the theories requiring novel mechanisms for punctuated evolution with theories based on population genetics. An ecological context for evolutionary change of morphological characters important in resource use is developed. Intraspecific competition can produce rapid evolutionary change under the described conditions. Ecological situations that induce transitions can result from the species' foraging activities as well as from fluctuations in the environmental conditions. -from Author",NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0022827823,SCOPUS_ID:0022827823,2-s2.0-0022827823,Aggregation of risk: relationships among host- parasitoid models.,Chesson P.,American Naturalist,00030147,127,5,696-715,1986-01-01,1986,10.1086/284514,185,Journal,ar,Article,100,2,2,12604,NA,undefined,NA,0,FALSE,52,"Models in which parasitoid density in a patch is strictly a function of host density in the patch, with no 'error' about this function, are pure-regression models. Those in which there is random variation in the number of parasitoids per patch, with no relationship between local parasitoid density and local host density, are pure-error models. The key factor in these models is not the distribution of parasitoids per se, but the distribution of the relative risk of parasitism which in the present formulation can result from variation in the number of parasitoids in a patch or from variation in host vulnerability. -from Authors",NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0022826984,SCOPUS_ID:0022826984,2-s2.0-0022826984,Consumptive-competition coefficients: an experimental analysis with spiders.,Spiller D.,American Naturalist,00030147,127,5,604-614,1986-01-01,1986,10.1086/284508,12,Journal,ar,Article,100,1,1,12604,NA,undefined,NA,0,FALSE,53,"Data on feeding rates, dietary composition, and relative frequencies of food types in the environment for 2 syntopic spider species, Metepeira grinnelli and Cyclosa turbinata, were used to evaluate two consumptive-competition-coefficient formulas. The 1st formula, proposed by MacArthur and Levins (1967) and Levins (1968) , reflects only dietary overlap between the species. The 2nd, more complicated formula (Schoener, 1974), also includes feeding rates, relative frequencies of food types in the environment, and food biomasses. The coefficients obtained from the MacArthur-Levins formula differed dramatically from those obtained from the Schoener formula in the spring and in the summer. The extra information in the Schoener formula is shown to be crucial for estimating consumptive-competition coefficients. -from Author Metepeira grinnelli Cyclosa turbinata",NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0022826577,SCOPUS_ID:0022826577,2-s2.0-0022826577,The effect of plant size variation on genetic drift in populations of annuals.,Heywood J.,American Naturalist,00030147,127,6,851-861,1986-01-01,1986,10.1086/284529,58,Journal,ar,Article,100,1,1,12604,NA,undefined,NA,0,FALSE,54,"The variance in allele frequency change between generations (the drift variance) can be partitioned into 2 components; one resulting from random gamete sampling, one from the variation in potential fecundity among adults. Estimates of potential fecundity variances, derived from estimates of size or seed-set variances, are presented for populations of 34 species of annual plants. For most of these populations, fecundity variation among adults accounts for the majority of the drift variance. In some cases, fecundity variation increases the magnitude of drift by nearly an order of magnitude relative to gamete sampling alone.-from Author",NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0022826131,SCOPUS_ID:0022826131,2-s2.0-0022826131,Plasticity of yield components in response to stress in Sesbania macrocarpa and Sesbania vesicaria ( Leguminosae).,Marshall D.,American Naturalist,00030147,127,4,508-521,1986-01-01,1986,10.1086/284499,72,Journal,ar,Article,100,3,3,12604,NA,undefined,NA,0,FALSE,55,"Effects of limited moisture, limited nutrients and defoliation on the subsequent allocation to yield components were measured in Sesbania macrocarpa and S. vesicaria in order to test the hypotheses that all yield components might be involved in the regulation of reproduction and that patterns of plasticity in reproduction may be species-specific. In S. vesicaria, the number of fruits per flower was the only yield component consistently reduced below the control. In S. macrocarpa, responses to mild stress were reductions in the number of seeds per ovule and in seed weight, components of yield probably determined later than the number of fruits per flower. Severe stresses resulted in a change in flower number. Both the pattern and the amount of plasticity in yield components differed significantly between species. Differences in responses to the same stresses may represent different adaptations resulting from variation in the importance of each component of yield for the successful reproduction of the 2 species in slightly different habitats. Within species, half-sib families differed in the amount, but not in the kind, of plastic response. Each species appears to be genetically invariant for plastic response in the same yield component, fruit survivorship, even though the overall pattern of plastic response differed between the species. Perhaps developmentally early yield components are genetically fixed to be either variable or stable, and responses in developmentally later yield components are determined by the levels of change in the earlier yield components.-Authors",NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0022824574,SCOPUS_ID:0022824574,2-s2.0-0022824574,"Body size, diet, and population density of Neotropical forest mammals.",Robinson J.,American Naturalist,00030147,128,5,665-680,1986-01-01,1986,10.1086/284596,238,Journal,ar,Article,100,2,2,12604,NA,undefined,NA,0,FALSE,56,"The population densities of Neotropical mammalian species are predictably related to their body masses and diets. In interspecific comparisons, population densities generally declined with increasing body mass, and declined with body mass within each of 7 specified dietary categories. In regression analyses, body mass alone accounted for c50% of the variation in density in the general case, and a greater proportion of the variation in 5 of the regressions within dietary categories. Adding diet as well as body mass significantly increased the proportion of variance explained. Magnitude of the effect of body mass on population density varied with dietary class. In general, larger-bodied species occur at lower densities than smaller-bodied species, and species with restricted diets and those at higher trophic levels occur at lower densities than species whose diet allows them access to a greater abundance of food resources. Results broadly support the hypothesis that population densities of species are determined by the potential resources, and ultimately energy, available to them in specified habitats.-from Authors",NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0022823880,SCOPUS_ID:0022823880,2-s2.0-0022823880,Developmental and physiological determinants of caste in social Hymenoptera: evolutionary implications.,Wheeler D.,American Naturalist,00030147,128,1,13-34,1986-01-01,1986,10.1086/284536,414,Journal,ar,Article,100,1,1,12604,NA,undefined,NA,0,FALSE,57,"The eusociality threshold, marked by cooperative brood care by mother and daughters, is crossed by both halictine bees and polistine wasps. Beyond the eusociality threshold lies the continued evolution and elaboration of social systems. Two particularly important thresholds of advanced colony organization are marked by morphological commitment to caste: 1) a commitment to queen-worker dimorphism, and 2) a commitment to morphological diversity within the worker form. Queen-worker dimorphism is a defining character of highly eusocial caste systems. If morphological differences exist between queens and workers, the pattern of queen and worker development must diverge no later than the larval stage. Larvae must be able to translate their own developmental, especially nutritional, history into a development decision. The linking and coordinate expression of gyne characters are advantageous when intermediates are less fit than full queens or full workers. Once such a developmental system evolves, individuals become extremely vulnerable to control by other colony members that have an interest in their developmental fate. In highly eusocial Hymenoptera, queens use 2 principal mechanisms to control offspring development: direct control of nutrition (eg honeybees Apis) and interference with larval response to nutrition (eg Bombus terrestris, many ants). A 2nd major threshold in the evolution of morphologically complex caste systems is the addition of multiple physical worker castes. -from Author",NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0022823633,SCOPUS_ID:0022823633,2-s2.0-0022823633,Neighborhood models of plant population dynamics. 4. Single- species and multispecies models of annuals with dormant seeds.,Pacala S.,American Naturalist,00030147,128,6,859-878,1986-01-01,1986,10.1086/284610,69,Journal,ar,Article,100,1,1,12604,NA,undefined,NA,0,FALSE,58,"Dormancy-induced changes in lifetime germination successes affect the equilibrium densities of plants and the local stability of equilibria. Dormancy induced population dynamic time lags, in contrast, do not affect equilibrium densities of post-germination plants or the ability of an invader to colonize a multispecies community successfully. In single-species populations, time lags are never destabilizing but may be stabilizing. Specifically, some strategies of dormancy (a way to partition lifetime germination success among the various age classes of seeds) cause an otherwise oscillatory monoculture (eigenvalue <-1) to have a locally stable positive equilibrium. The maximum distance over which a plant of one species can interfere with a plant of other species is termed the neighborhood radius. The population-dynamic consequences of the sizes of the radii are examined in 1- and 2-species communities. -from Author",NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0022823107,SCOPUS_ID:0022823107,2-s2.0-0022823107,Optimal egg size and clutch size: effects of environment and maternal phenotype.,Parker G.,American Naturalist,00030147,128,4,573-592,1986-01-01,1986,10.1086/284589,436,Journal,ar,Article,100,2,2,12604,NA,undefined,NA,0,FALSE,59,"Models investigate the interaction between 3 components of fitness: 1) the intrinsic effect of egg size, 2) the density effect, the effect of the density of competing offspring (including competition with sibs and with non-sibs), and 3) the hierarchy effect, the effect of egg size relative to the sizes of competing eggs laid by other females. The environmental effects considered are the intensities of sib and non-sib competition, the number of egg-laying females, and some aspects of seasonal development. The particular aspects of maternal phenotype examined are foraging efficiency and the gametic reserve available at the time of egg laying (broadly equivalent to female size). -from Authors",NA,NA
