@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,dc:description,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,authkeywords,source-id,fund-no,openaccess,openaccessFlag,entry_number,prism:doi,freetoread.value.$,freetoreadLabel.value.$,fund-acr,fund-sponsor
true,https://api.elsevier.com/content/abstract/scopus_id/0030038923,SCOPUS_ID:0030038923,2-s2.0-0030038923,Developmental stability in leaves of Clarkia tembloriensis (onagraceae) as related to population outcrossing rates and heterozygosity,Sherry R.A.,Evolution,00143820,50,1,80-91,1996-01-01,February 1996,"Four natural populations of Clarkia tembloriensis, whose levels of heterozygosity and rates of outcrossing were previously found to be correlated, are examined for developmental instability in their leaves. From the northern end of the species range, we compare a predominantly selfing population (t̂ = 0.26) with a more outcrossed population (t̂ = 0.84), which is genetically similar. From the southern end of the range, we compare a highly selfing population (t̂ = 0.03) with a more outcrossed population (t̂ = 0.58). We measured developmental stability in the populations using two measures of within-plant variation in leaf length as well as calculations of fluctuating asymmetry (FA) for several leaf traits. Growth-chamber experiments show that selfing populations are significantly more variable in leaf length than more outcrossed populations. Developmental instability can contribute to this difference in population-level variance. Plants from more homozygous populations tend to have greater within:plant variance over developmentally comparable nodes than plants from more heterozygous populations, but the difference is not significant. At the upper nodes of the plant, mature leaf length declines steadily with plant age, allowing for a regression of leaf length on node. On average, the plants from more homozygous populations showed higher variance about the regression (MSE) and lower R2 values, suggesting that the decline in leaf length with plant age is less stable in plants from selfing populations than in plants from outcrossing populations. Fluctuating asymmetry (FA) was calculated for four traits within single leaves at up to five nodes per plant. At the early nodes of the plant where leaf arrangement is opposite, FA was as calculated for the same traits between opposite leaves at a node. Fluctuating asymmetry is significantly greater in the southern selfing population than in the neighboring outcrossed population. Northern populations do not differ in FA. Fluctuating asymmetry can vary significantly between nodes. The FA values of different leaf traits were not correlated. We show that developmental stability can be measured in plants using FA and within-plant variance. Our data suggest that large differences in breeding system are associated with differences in stability, with more inbred populations being the least stable.",53,Journal,ar,Article,100,2,2,Clarkia tembloriensis | Developmental stability | Evolution of self-pollination | Fluctuating asymmetry | Leaf development,22104,undefined,0,FALSE,54,10.1111/j.1558-5646.1996.tb04474.x,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0030038921,SCOPUS_ID:0030038921,2-s2.0-0030038921,Locomotor modules and the evolution of avian flight,Gatesy S.M.,Evolution,00143820,50,1,331-340,1996-01-01,February 1996,"The evolution of avian flight can be interpreted by analyzing the sequence of modifications of the primitive tetrapod locomotor system through time. Herein, we introduce the term ""locomotor module"" to identify anatomical subregions of the musculoskeletal system that are highly integrated and act as functional units during locomotion. The first tetrapods, which employed lateral undulations of the entire body and appendages, had one large locomotor module. Basal dinosaurs and theropods were bipedal and possessed a smaller locomotor module consisting of the hind limb and tail. Bird flight evolved as the superimposition of a second (aerial) locomotor capability onto the ancestral (terrestrial) theropod body plan. Although the origin of the wing module was the primary innovation, alterations in the terrestrial system were also significant. We propose that the primitive theropod locomotor module was functionally and anatomically subdivided into separate pelvic and caudal locomotor modules. This decoupling freed the tail to attain a new and intimate affiliation with the forelimb during flight, a configuration unique to birds. Thus, the evolution of flight can be viewed as the origin and novel association of locomotor modules. Differential elaboration of these modules in various lineages has produced the diverse locomotor abilities of modern birds.",179,Journal,ar,Article,100,2,2,Avian evolution | Bird flight | Locomotion,22104,undefined,0,FALSE,55,10.1111/j.1558-5646.1996.tb04496.x,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0030025074,SCOPUS_ID:0030025074,2-s2.0-0030025074,Presumptive rapid speciation after a founder event in a laboratory population of nereis: Allozyme electrophoretic evidence does not support the hypothesis,Rodríguez-Trelles F.,Evolution,00143820,50,1,457-461,1996-01-01,February 1996,NA,9,Journal,ar,Article,100,3,3,Electrophoretic variation | Founder principle | Genetic divergence | Nereis acuminata | Polychaetes | Speciation,22104,undefined,1,TRUE,56,10.1111/j.1558-5646.1996.tb04509.x,all,All Open Access,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0030025073,SCOPUS_ID:0030025073,2-s2.0-0030025073,Temporal variation in mitochondrial DNA haplotype frequencies in a brown trout (Salmo Trutta L.) population that shows stability in nuclear allele frequencies,Hansen M.M.,Evolution,00143820,50,1,454-457,1996-01-01,February 1996,NA,24,Journal,ar,Article,100,2,2,Allozymes | Effective population number | Genetic drift | Mitochondrial DNA | Temporal variation,22104,undefined,1,TRUE,57,10.1111/j.1558-5646.1996.tb04508.x,all,All Open Access,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0030025072,SCOPUS_ID:0030025072,2-s2.0-0030025072,The polytypic species revisited: Genetic differentiation and molecular phylogenetics of the tiger salamander Ambystoma Tigrinum (amphibia: caudata) complex,Shaffer H.B.,Evolution,00143820,50,1,417-433,1996-01-01,February 1996,"We present a phylogenetic analysis of the Ambystoma tigrinum complex, based on approximately 840 base pairs of mitochondrial-DNA sequence from the rapidly evolving D-loop and an adjacent intron. Our samples include populations of the continentally distributed species, A. tigrinum, plus all described species of Mexican ambystomatids. Sequence divergence is low, ranging from 0-8.5%, and most phylogenetic groupings are weakly supported statistically. We identified eight reasonably well-defined clades from the United States and Mexico, with the geographically isolated A. californiense from California as the probable sister group to the remaining taxa. Our sequence data are not capable of resolving the relationship among these clades, although the pattern of transitional-site evolution suggests that these eight lineages diverged during a period of rapid cladogenesis. We roughly calibrate a molecular clock and identify a few lineages that significantly deviate from the slow, baseline rate of 0.5-0.75% per million years. Our data also suggest that species boudaries for several U.S. and Mexican species need to be altered and that the concept of a continentally distributed, polytypic tiger salamander is not valid.",187,Journal,ar,Article,100,2,2,Ambystoma | Axolotl | Biogeography | D-loop | Mitochondrial DNA | Phylogeny | Tiger salamander,22104,undefined,1,TRUE,58,10.1111/j.1558-5646.1996.tb04503.x,all,All Open Access,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0030024708,SCOPUS_ID:0030024708,2-s2.0-0030024708,On the assignment of fitness values in statistical analyses of selection,Brodie E.,Evolution,00143820,50,1,437-442,1996-01-01,February 1996,NA,65,Journal,ar,Article,100,2,2,Natural selection | Opportunity for selection | Selection analysis | Sexual selection | Survival | Turtles,22104,undefined,1,TRUE,59,10.1111/j.1558-5646.1996.tb04505.x,all,All Open Access,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0030024441,SCOPUS_ID:0030024441,2-s2.0-0030024441,Genetic constraints on life-history evolution: Quantitative-trait loci influencing growth and flowering in Arabidopsis thaliana,Mitchell-Olds T.,Evolution,00143820,50,1,140-145,1996-01-01,February 1996,"We have mapped genes causing life-history trade-offs, and they behave as predicted by ecological theory. Energetic and quantitative-genetic models suggest a trade-off between age and size at first reproduction. Natural selection favored plants that flower early and attain large size at first reproduction. Response to selection was opposed by a genetic trade-off between these two components of fitness. Two quantitative-trait loci (QTLs) influencing flowering time were mapped in a recombinant inbred population of Arabidopsis. These QTLs also influenced size at first reproduction, but did not affect growth rate (resource acquisition). Substitutions of small chromosomal segments, which may represent allelic differences at flowering time loci, caused genetic trade-offs between life-history components. One QTL explained 22% of the genetic variation in flowering time. It is within a few centiMorgans (cM) of the gigantea (GI) locus, and may be allelic with GI. Sixteen percent of the genetic variation was explained by another QTL, FDR1 near 18 cM on chromosome II, which does not correspond to any previously identified flowering-time locus. These life-history genes regulate patterns of resource allocation and life-history trade-offs in this population.",137,Journal,ar,Article,100,1,1,Arabidopsis thaliana | Flowering time | Gigantea | Life-history trade-offs | QTL mapping | Quantitative-trait locus (QTL) | Recombinant inbred lines | Resource allocation,22104,undefined,0,FALSE,60,10.1111/j.1558-5646.1996.tb04480.x,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0030023324,SCOPUS_ID:0030023324,2-s2.0-0030023324,The effect of a variable environment on the genetic correlation structure in a field cricket,Simons A.M.,Evolution,00143820,50,1,267-275,1996-01-01,February 1996,"The evolutionary trajectory of a trait depends not only on the presence of genetic variation, but also on the pattern of genetic correlations (rg) among traits. Genetic correlations are most easily measured under homogenous, controlled laboratory conditions, whereas natural populations typically experience a higher degree of environmental variability. The effect of environmental variability on genetic correlations in the cricket, Gryllus pennsylvanicus, was studied by measuring genetic correlations within and between two environments differing in levels of environmental heterogeneity. Within-environment rg among morphological traits measured in the homogeneous laboratory environment were found to be reliable predictors of rg measured in the experimental field environment. Laboratory measures of rg involving life-history traits, though, were not found to reflect the same correlations measured in the heterogeneous environment. A significant negative genetic correlation between fecundity and developmental time was found in the field environment, yet was not detectable when measured in the laboratory. Phenotypic correlations may be obtained much more easily than genetic correlations, but their usefulness in evolutionary inference depends on the pattern of similarity betweent the two correlations. A comparison of genetic and phenotypic correlations revealed a close match between the two measures for morphological traits, but revealed only broad similarities when considering life-history traits. Male-female genetic correlations between morphological traits were high (all rg > 0.73) and were consistently higher in the field environment than in the laboratory. The genetic correlations between the sexes in developmental time followed the same trend, but the male-female genetic correlation of gonad weights was low in both environments. Across-environment correlations were found to be strong for morphological traits and for gonad weight, whereas the genetic expression of developmental time was found to be dependent on the environment in which the crickets were raised.",60,Journal,ar,Article,100,2,2,Cricket | Environmental variability | Genetic correlations | Genotype-environment interaction | Gryllus pennsylvanicus | Life-history characters | Phenotypic correlations | Pleiotropy,22104,undefined,0,FALSE,61,10.1111/j.1558-5646.1996.tb04490.x,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0030021645,SCOPUS_ID:0030021645,2-s2.0-0030021645,"Heritability of wing length in nature for the milkweed bug, Oncopeltus Fasciatus",Groeters F.R.,Evolution,00143820,50,1,442-447,1996-01-01,February 1996,NA,4,Journal,ar,Article,100,2,2,Asclepias fasicularis | Heritability | Milkweed bug | Oncopeltus fasciatus | Wing length,22104,undefined,1,TRUE,62,10.1111/j.1558-5646.1996.tb04506.x,all,All Open Access,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0030021368,SCOPUS_ID:0030021368,2-s2.0-0030021368,Computer-simulated shell size and shape variation in the caribbean land snail genus Cerion: A test of geometrical constraints,Stone J.R.,Evolution,00143820,50,1,341-347,1996-01-01,February 1996,"A computer graphical model of gastropod shell form is used to test a hypothesis of geometric constraint proposed to explain the disjunct distribution of shell forms observed in Cerion, a species-rich and geometrically varied genus of terrestrial gastropods. The mapping of computer-simulated forms into a morphospace of Cerion shells produces a continuum of sizes and shapes. Therefore, the absence of particular shell forms is not explained by geometric constraints. Two proposed modes of shell morphogenesis at extreme ranges in size (""dwarfs"" and ""giants"") previously were thought to be exclusive routes to the construction of high-spired (""smokestack"") forms. The present study shows that there are, in fact, multiple routes of transformation. In addition, these routes are geometrically reversible and interconnect the members of the shell-form continuum. Thus, the possible pathways followed during the course of evolution within this genus cannot be determined until an adequate phylogenetic hypothesis has been proposed.",26,Journal,ar,Article,100,1,1,Allometry | Cerion | Form | Gastropod | Growth | Morphology | Morphospace,22104,undefined,0,FALSE,63,10.1111/j.1558-5646.1996.tb04497.x,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0030021366,SCOPUS_ID:0030021366,2-s2.0-0030021366,Conducting phylogenetic comparative studies when the phylogeny is not known,Martins E.P.,Evolution,00143820,50,1,12-22,1996-01-01,February 1996,A method is proposed to conduct phylogenetic analyses of comparative or interspecific data when the true phylogeny is not known. Standard models of speciation and/or extinction or other methods are used to generate a sample from the set of all possible phylogenies for the measured species. The comparative data are then analyzed on each of the possible trees to obtain a distribution of possible evolutionary statistics for these data. The mean of this distribution is proposed as a reasonable estimate of the true evolutionary statistic of interest. Ways of obtaining confidence intervals and of developing hypothesis tests for this mean statistic are also proposed. The method can be used with any comparative method or phylogenetic analysis technique when phylogenetic relationships among species are not known or when branch lengths for a phylogeny in units of expected character change (as required by most methods) are not available. Computer programs to conduct the analyses are available on request.,103,Journal,ar,Article,100,1,1,Comparative method | Computer simulation | Phylogeny | Speciation | Statistics | Systematics,22104,undefined,0,FALSE,64,10.1111/j.1558-5646.1996.tb04468.x,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0029852475,SCOPUS_ID:0029852475,2-s2.0-0029852475,"Long-distance gene flow in the sedentary butterfly, Euphilotes enoptes (Lepidoptera: Lycaenidae)",Peterson M.A.,Evolution,00143820,50,5,1990-1999,1996-01-01,October 1996,"The relationship between gene flow and geographic proximity has been assessed for many insect species, but dispersal distances are poorly known for most of these. Thus, we are able to assess the concordance between vagility and gene flow for only a few species. In this study, I documented variation at six allozyme loci among Washington and Oregon populations of the sedentary, patchily distributed, lycaenid butterfly, Euphilotes enoptes (Boisduval) to assess whether the relationship between gene flow and geographic distance is consistent with the dispersal biology of this species. Both a phenogram based on genetic distances between populations and a regression analysis of gene flow estimates on geographic distances showed a pattern consistent with genetic isolation by distance. Many estimates of gene flow among pairs of populations separated by more than 100 km exceeded the equivalent of 10 individuals exchanged per generation, a value much greater than would be predicted from the limited dispersal ability of this species. However, based on the allozyme data, genetic neighborhood size was estimated to be approximately 39 individuals, a value that is consistent with poor vagility. The results of this study speak to the power of stepping-stone gene flow among populations and are compared to the results of other studies that have examined the relationship between dispersal and gene flow in sedentary insects.",45,Journal,ar,Article,100,1,1,Allozymes | dispersal | Euphilotes enoptes | gene flow | isolation by distance | Lycaenidae | neighborhood size | phytophagous insect | stepping-stone model,22104,undefined,0,FALSE,65,10.1111/j.1558-5646.1996.tb03586.x,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0029852474,SCOPUS_ID:0029852474,2-s2.0-0029852474,Identical major gene loci for heavy metal tolerances that have independently evolved in different local populations and subspecies of Silene vulgaris,Schat H.,Evolution,00143820,50,5,1888-1895,1996-01-01,October 1996,"Heavy metal tolerant Silene vulgaris plants, originating from different metalliferous sites in Germany and one in Ireland, were crossed to each other and to nontolerant plants from a nonmetalliferous site in The Netherlands. Analysis of the crosses suggested that there were two distinct major gene loci for zinc tolerance among a total of five tolerant populations. The tolerance loci for zinc, copper, and cadmium in the Irish plants were shown to be identical with those in the German populations. It is argued that the occurrence of common major genes for tolerance among different geographically isolated populations must have resulted from independent parallel evolution in local nontolerant ancestral populations. Each of the tolerances studied seems to be controlled by only a few specific major genes.",139,Journal,ar,Article,100,3,3,Cadmium tolerance | copper tolerance | genetics | Silene vulgaris | zinc tolerance,22104,undefined,1,TRUE,66,10.1111/j.1558-5646.1996.tb03576.x,all,All Open Access,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0029849913,SCOPUS_ID:0029849913,2-s2.0-0029849913,Testing historical hypotheses of morphological change: Biomechanical decoupling in loricarioid catfishes,Schaefer S.A.,Evolution,00143820,50,4,1661-1675,1996-01-01,August 1996,"The 'decoupling hypothesis' has been proposed as a mechanistic basis for the evolution of novel structure and function. Decoupling derives from the release of functional constraints via loss of linkages and/or repetition of individual elements as redundant design components, followed by specialization of one or more elements. Examples of apomorphic decoupling have been suggested for several groups of organisms, however there have been few empirical tests of explicit statements concerning functional and morphological consequences of decoupling. Using the loricarioid catfishes, we tested one particular consequence of decoupling, the prediction that clades possessing decoupled systems having increased biomechanical complexity will exhibit greater morphological variability of associated structures than outgroups having no such decoupled systems. Morphometric procedures based on interlandmark distances were used to quantify morphological variance at three levels of design at successive nodes in the loricarioid cladogram. Additional landmark-based procedures were used to localize major patterns of shape change between clades. We report significantly greater within-group morphometric variance at all three morphological levels in those lineages associated with decoupling events, confirming our predictions under the decoupling hypothesis. Two of 12 comparisons, however, yielded significant variance effects where none were predicted. Localization of the major patterns of shape change suggests that disassociation between morphological and functional evolution may contribute to the lack of fit between variance predictions and decoupling in these two comparisons.",75,Journal,ar,Article,100,2,2,Catfishes | decoupling | evolutionary morphology | functional design | Loricarioidea | morphometrics,22104,undefined,1,TRUE,67,10.1111/j.1558-5646.1996.tb03938.x,all,All Open Access,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0029849557,SCOPUS_ID:0029849557,2-s2.0-0029849557,Quantitative genetics of sprint running speed and swimming endurance in laboratory house mice (Mus domesticus),Dohm M.R.,Evolution,00143820,50,4,1688-1701,1996-01-01,August 1996,"We tested the hypothesis that locomotor speed and endurance show a negative genetic correlation using a genetically variable laboratory strain of house mice (Hsd:ICR: Mus domesticus). A negative genetic correlation would qualify as an evolutionary 'constraint.' because both aspects of locomotor performance are generally expected to be under positive directional selection in wild populations. We also tested whether speed or endurance showed any genetic correlation with body mass. For all traits, residuals from multiple regression equations were computed to remove effects of possible confounding variables such as age at testing, measurement block, observer, and sex. Estimates of quantitative genetic parameters were then obtained using Shaw's (1987) restricted maximum-likelihood programs, modified to account for our breeding design, which incorporated cross-fostering. Both speed and endurance were measured on two consecutive trial days, and both were repeatable. We initially analyzed performances on each trial day and the maximal value. For endurance, the three estimates of narrow-sense heritabilities ranged from 0.17 to 0.33 (full ADCE model) and some were statistically significantly different from zero using likelihood ratio tests. The heritability estimate for sprint speed measured on trial day 1 was 0. 17, but negative for all other measures. Moreover, the additive genetic covariance between speeds measured on the two days was near zero, indicating that the two measures are to some extent different traits. The additive genetic covariance between speed on trial day 1 and any of the four measures of endurance was negative, large, and always statistically significant. None of the measurement of speed or endurance was significantly genetically correlated with body mass. Thus, we predict that artificial selection for increased locomotor speed in these mice would result in a decrease in endurance, but no change in body mass. Such experiments could lead to a better understanding of the physiological mechanisms leading to trade-offs in aspects of locomotor abilities.",83,Journal,ar,Article,100,3,3,Behavior | body mass | cross-fostering | domestication | genetic correlation | heritability | locomotion | maternal effects | physiology | relaxed selection | trade-off,22104,undefined,0,FALSE,68,10.1111/j.1558-5646.1996.tb03940.x,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0029846807,SCOPUS_ID:0029846807,2-s2.0-0029846807,"Facultative adjustment of the sex ratio in an insect (Planococcus citri, pseudococcidae) with paternal genome loss",Varndell N.P.,Evolution,00143820,50,5,2100-2105,1996-01-01,October 1996,NA,26,Journal,ar,Article,100,2,2,Mealybug | paternal genome loss | sex determination | sex ratio,22104,undefined,0,FALSE,69,10.1111/j.1558-5646.1996.tb03597.x,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0029845861,SCOPUS_ID:0029845861,2-s2.0-0029845861,Density-dependent selection on continuous characters: A quantitative genetic model,Tanaka Y.,Evolution,00143820,50,5,1775-1785,1996-01-01,October 1996,"A quantitative genetic model of density-dependent selection is presented and analysed with parameter values obtained from laboratory selection experiments conducted by Mueller and his coworkers. The ecological concept of r- and K-selection is formulated in terms of selection gradients on underlying phenotypic characters that influence the density-dependent measure of fitness. Hence the selection gradients on traits are decomposed into two components, one that changes in the direction to increase r, and one that changes in the direction to increase K. The relative importance of the two components is determined by temporal fluctuations in population density. The evolutionary rate of r and K (per-generation changes in r and K due to the genetic responses of the underlying traits) is also formulated. Numerical simulation has shown that with moderate genetic variances of the underlying characters, r and K can evolve rapidly and the evolutionary rate is influenced by synergistic interaction between characters that contribute to r and K. But strong r-selection can occur only with severe and continuous disturbances of populations so that the population density is kept low enough to prevent K-selection.",6,Journal,ar,Article,100,1,1,Density-dependent selection | life history | quantitative genetics | reaction norm | selection gradient,22104,undefined,0,FALSE,70,10.1111/j.1558-5646.1996.tb03564.x,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0029843512,SCOPUS_ID:0029843512,2-s2.0-0029843512,"Phylogenies, spatial autoregression, and the comparative method: A computer simulation test",Martins E.P.,Evolution,00143820,50,5,1750-1765,1996-01-01,October 1996,"Brownian motion computer simulation was used to test the statistical properties of a spatial autoregressive method in estimating evolutionary correlations between two traits using interspecific comparative data. When applied with a phylogeny of 42 species, the method exhibited reasonable Type I and II error rates. Estimation abilities were comparable to those of independent contrasts and minimum evolution (parsimony) methods, and generally superior to a traditional nonphylogenetic approach (not taking phylogenies into account at all). However, the autoregressive method performed extremely poorly with a smaller phylogeny (15 species) and with nearly independent ('star') phylogenies. In both of these situations, any phylogenetic autocorrelation present in the data was not detected by the method. Results show how diagnostic techniques (e.g., Moran's I) can be useful in detecting and avoiding such situations, but that such techniques should not be used as definitive evidence that phylogenetic correlation is not present in a set of comparative data. The correction factor (α) proposed by Gittleman and Kot (1990) for use in weighting phylogenetic information had little effect in most analyses of 15 or 42 species with incorrect phylogenetic information, and may require much larger sample sizes before significant improvement is shown. With the sample sizes tested in this study, however, the autoregressive method implemented with this correction factor and correct phylogenetic information led to downwardly biased estimates of the absolute magnitude of the evolutionary correlation between two traits. Cautions and recommendations for implemention of the spatial autoregressive method are given; computer programs to conduct the analyses are available on request.",85,Journal,ar,Article,100,1,1,Autocorrelation | coevolution | comparative method | computer simulation | phylogenetic analysis | systematics,22104,undefined,0,FALSE,71,10.1111/j.1558-5646.1996.tb03562.x,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0029840314,SCOPUS_ID:0029840314,2-s2.0-0029840314,Quantitative genetics of the wing color pattern in the buckeye butterfly (Precis coenia and Precis evarete): Evidence against the constancy of G,Paulsen S.M.,Evolution,00143820,50,4,1585-1597,1996-01-01,August 1996,"Models for the evolution of continuously varying traits use heritabilities, genetic correlations, and the G-matrix to quantify the genetic variation upon which selection acts. Given estimates of these parameters, it is possible to predict the long-term effects of selection, infer past selective forces responsible for observed differences between populations or species, and distinguish the effects of drift from selection. Application of these methods, however, requires the unproven assumption that the G-matrix remains constant from one generation to the next. This study examines the assumption of constancy for the wing pattern characteristics of two sibling species of butterflies, Precis coenia and P. evarete (Lepidoptera: Nymphalidae). Quantitative genetic parameters were estimated from parent-offspring regression. Two approaches were taken to test the null hypothesis of equality between species. First, pairwise tests between corresponding elements of G and between heritabilities and genetic correlations for the two species were constructed. Second, a modification of Bartlett's modified likelihood-ratio test was used to test for equality between the G-matrices. The matrix test failed to detect any between species differences. In contrast, pairwise comparison revealed significant differences. Thus, it appears that constancy cannot be assumed at the species level in quantitative genetic studies. In particular, the assumption of constancy was violated for the trait with the greatest difference in mean phenotype.",52,Journal,ar,Article,100,1,1,G-matrix | Precis | wing pattern,22104,undefined,0,FALSE,72,10.1111/j.1558-5646.1996.tb03931.x,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0029838036,SCOPUS_ID:0029838036,2-s2.0-0029838036,Adaptive radiation along genetic lines of least resistance,Schluter D.,Evolution,00143820,50,5,1766-1774,1996-01-01,October 1996,"Are measurements of quantitative genetic variation useful for predicting long-term adaptive evolution? To answer this question. I focus on g(max), the multivariate direction of greatest additive genetic variance within populations. Original data on threespine sticklebacks, together with published genetic measurements from other vertebrates, show that morphological differentiation between species has been biased in the direction of g(max) for at least four million years, despite evidence that natural selection is the cause of differentiation. This bias toward the direction of evolution tends to decay with time. Rate of morphological divergence between species is inversely proportional to θ, the angle between the direction of divergence and the direction of greatest genetic variation. The direction of greatest phenotypic variance is not identical with g(max), but for these data is nearly as successful at predicting the direction of species divergence. I interpret the findings to mean that genetic variances and covariances constrain adaptive change in quantitative trails for reasonably long spans of time. An alternative hypothesis, however, cannot be ruled out: that morphological differentiation is biased in the direction g(max) because divergence and g(max) are both shaped by the same natural selection pressures. Either way, the results reveal that adaptive differentiation occurs principally along 'genetic lines of least resistance'.",807,Journal,ar,Article,100,1,1,Adaptive divergence | adaptive radiation | genetic correlation | genetic variance | heritability | natural selection | sticklebacks,22104,undefined,1,TRUE,73,10.1111/j.1558-5646.1996.tb03563.x,all,All Open Access,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0029835493,SCOPUS_ID:0029835493,2-s2.0-0029835493,Development of the hybrid swarm between Pecos pupfish (Cyprinodontidae: Cyprinodon pecosensis) and sheepshead minnow (Cyprinodon variegatus): A perspective from allozymes and mtDNA,Childs M.R.,Evolution,00143820,50,5,2014-2022,1996-01-01,October 1996,"A comparison of allozyme and mtDNA frequencies was used for insight into a situation in the Pecos River, Texas where contact between the endemic pupfish (Cyprinodon pecosensis) and an introduced congener (C. variegatus) has resulted in rapid, geographically extensive genetic introgression. Temporal changes in mean frequencies of diagnostic allozyme markers indicate that the clinal pattern of introduced genetic material (Echelle and Connor 1989) is slowly decreasing in amplitude. Significant rank concordance in diagnostic allele frequencies among sites and across sampling years indicates directional influences upon temporal allele frequency change. These observations are consistent with the theory of gene flow in neutral clines. Levels of introgression indicated by each of four allozyme loci and mtDNA were roughly equivalent. The early history of the hybrid swarm is explained by genetic swamping. possibly mediated by selection for C. variegatus or C. variegatus x C. pecosensis, at a lime when the normally abundant endemic species had been catastrophically depleted. High frequencies of an introduced GPI-A allele in all samples of intergrades suggests that the introduced genome originated with a single founding event.",47,Journal,ar,Article,100,3,3,Cyprinodon | Cyprinodontidae | fish | genetic introgression | hybridization | pupfish,22104,undefined,1,TRUE,74,10.1111/j.1558-5646.1996.tb03588.x,all,All Open Access,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0029834705,SCOPUS_ID:0029834705,2-s2.0-0029834705,Sexual selection operating in a wild population of Drosophila robusta,Etges W.J.,Evolution,00143820,50,5,2095-2100,1996-01-01,October 1996,NA,16,Journal,ar,Article,100,1,1,Breeding site ecology | Drosophila | inversion polymorphism | life cycle components | mating success | natural selection | sexual selection,22104,undefined,0,FALSE,75,10.1111/j.1558-5646.1996.tb03596.x,NA,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0029831807,SCOPUS_ID:0029831807,2-s2.0-0029831807,Testing cold fusion of phyla: Maternity in a tunicate x sea urchin hybrid determined from DNA comparisons,Hart M.W.,Evolution,00143820,50,4,1713-1718,1996-01-01,August 1996,NA,8,Journal,ar,Article,100,1,1,28S ribosomal RNA | Ascidia mentula | Ascidiacea | cytochrome oxidase I | Echinoidea | Echinus esculentus | horizontal gene transfer | hybridization | mtDNA,22104,undefined,1,TRUE,76,10.1111/j.1558-5646.1996.tb03943.x,all,All Open Access,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0029829781,SCOPUS_ID:0029829781,2-s2.0-0029829781,Evidence for genetic differentiation between choke-inducing and asymptomatic strains of the Epichloe grass endophyte from Brachypodium sylvaticum,Bucheli E.,Evolution,00143820,50,5,1879-1887,1996-01-01,October 1996,"Life cycle and breeding system variation in Epichloe grass endophytes (choke disease) is tightly linked to the degree of stroma formation. It is not known whether this variation results from differences in host resistance, fungal virulence, or environmental conditions. We found genetic differentiation between 173 asymptomatic (NS) and 93 stromata-forming (S) Epichloe strains isolated from one grass species, Brachypodium sylvaticum, based on 13 presumed allozyme loci, of which six were variable. The fungal strains originated from 10 sites in Switzerland, three sites of which were represented by both NS and S subpopulations. In total, 19 allozyme genotypes, that were nonrandomly distributed among S and NS were detected. Genetic variation measured as G(ST) between S and NS strains isolated from the same site ranged from 0.73 to 0.98. Clonality, measured as linkage disequilibrium at one site, was significant in the NS subpopulation (P << 0.001), but not in the S subpopulation (P = 0.21), implying asexual reproduction by NS strains as well as successful horizontal transmission of S strains. Since all seeds are usually infected vegetatively, horizontal transmission implies the occurrence of multiple host infections. Altogether, these results provide indirect evidence that NS and S strains do not belong to one panmictic population and that differentiation patterns of stroma formation found in nature are due to genetic differences among fungi in associations with their host plants. We discuss the direction of evolution of disease expression in this system. The distribution of genetic variability suggests that the asymptomatic strains were derived from stromata-forming populations.",37,Journal,ar,Article,100,2,2,Acremonium | allozymes | Epichloe | grass endophytes | linkage analysis | mode of transmission | stroma formation,22104,undefined,1,TRUE,77,10.1111/j.1558-5646.1996.tb03575.x,all,All Open Access,NA,NA
