@_fa,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:issueIdentifier,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,dc:description,citedby-count,prism:aggregationType,subtype,subtypeDescription,author-count.@limit,author-count.@total,author-count.$,source-id,fund-no,openaccess,openaccessFlag,freetoread.value.$,freetoreadLabel.value.$,entry_number,authkeywords,fund-acr,fund-sponsor
true,https://api.elsevier.com/content/abstract/scopus_id/0028250995,SCOPUS_ID:0028250995,2-s2.0-0028250995,Genetics of mortality in the bean beetle Callosobruchus maculatus,Tatar M.,Evolution,00143820,48,4,1371-1376,1994-01-01,1994,10.1111/j.1558-5646.1994.tb05320.x,NA,23,Journal,ar,Article,100,2,2,22104,undefined,1,TRUE,all,All Open Access,52,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028250982,SCOPUS_ID:0028250982,2-s2.0-0028250982,Adaptive distance and the genetic basis of heterosis,Houle D.,Evolution,00143820,48,4,1410-1417,1994-01-01,1994,10.1111/j.1558-5646.1994.tb05326.x,NA,33,Journal,ar,Article,100,1,1,22104,undefined,1,TRUE,all,All Open Access,53,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028247892,SCOPUS_ID:0028247892,2-s2.0-0028247892,Sexual selection in the barn swallow (Hirundo rustica). IV.Patterns of fluctuating asymmetry and selection against asymmetry,Moller A.P.,Evolution,00143820,48,3,658-670,1994-01-01,1994,10.2307/2410476,NA,99,Journal,ar,Article,100,1,1,22104,undefined,0,FALSE,NA,NA,54,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028247891,SCOPUS_ID:0028247891,2-s2.0-0028247891,Genetic and morphological divergence among morphotypes of the isopod Excirolana on the two sides of the Isthmus of Panama,Lessios H.A.,Evolution,00143820,48,3,530-548,1994-01-01,1994,10.1111/j.1558-5646.1994.tb01342.x,NA,39,Journal,ar,Article,100,2,2,22104,undefined,1,TRUE,all,All Open Access,55,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028191317,SCOPUS_ID:0028191317,2-s2.0-0028191317,Polymorphism of bacterial restriction-modification systems: The advantage of diversity,Frank S.A.,Evolution,00143820,48,5,1470-1477,1994-01-01,1994,10.1111/j.1558-5646.1994.tb02189.x,NA,10,Journal,ar,Article,100,1,1,22104,undefined,0,FALSE,NA,NA,56,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028190740,SCOPUS_ID:0028190740,2-s2.0-0028190740,Comparative evolutionary analysis of metabolism in nine Drosophila species,Clark A.G.,Evolution,00143820,48,4,1230-1243,1994-01-01,1994,10.1111/j.1558-5646.1994.tb05308.x,NA,21,Journal,ar,Article,100,2,2,22104,undefined,1,TRUE,all,All Open Access,57,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028190739,SCOPUS_ID:0028190739,2-s2.0-0028190739,Substitution processes in molecular evolution. II.Exchangeable models from population genetics,Gillespie J.H.,Evolution,00143820,48,4,1101-1113,1994-01-01,1994,10.1111/j.1558-5646.1994.tb05297.x,NA,35,Journal,ar,Article,100,1,1,22104,undefined,0,FALSE,NA,NA,58,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028190738,SCOPUS_ID:0028190738,2-s2.0-0028190738,"High inbreeding depression, selective interference among loci, and the threshold selfing rate for purging recessive lethal mutations",Lande R.,Evolution,00143820,48,4,965-978,1994-01-01,1994,10.1111/j.1558-5646.1994.tb05286.x,NA,199,Journal,ar,Article,100,3,3,22104,undefined,1,TRUE,all,All Open Access,59,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028190355,SCOPUS_ID:0028190355,2-s2.0-0028190355,"Alcohol tolerance, ADH activity, and ecological niche of Drosophila species",Mercot H.,Evolution,00143820,48,3,746-757,1994-01-01,1994,10.1111/j.1558-5646.1994.tb01358.x,NA,68,Journal,ar,Article,100,5,5,22104,undefined,1,TRUE,all,All Open Access,60,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028190294,SCOPUS_ID:0028190294,2-s2.0-0028190294,Transposon abundance in sexual and asexual populations of Chlamydomonas reinhardtii,Zeyl C.,Evolution,00143820,48,4,1406-1409,1994-01-01,1994,10.1111/j.1558-5646.1994.tb05325.x,NA,11,Journal,ar,Article,100,3,3,22104,undefined,0,FALSE,NA,NA,61,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028189870,SCOPUS_ID:0028189870,2-s2.0-0028189870,When morphology misleads: Interpopopulation uniformity in sexual selection masks genetic divergence in harlequin beetle-riding pseudoscorpion populations,Zeh D.,Evolution,00143820,48,4,1168-1182,1994-01-01,1994,10.1111/j.1558-5646.1994.tb05303.x,NA,25,Journal,ar,Article,100,2,2,22104,undefined,1,TRUE,all,All Open Access,62,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028189716,SCOPUS_ID:0028189716,2-s2.0-0028189716,Crossing-distance effects in Delphinium nelsonii: Outbreeding and inbreeding depression in progeny fitness,Waser N.M.,Evolution,00143820,48,3,842-852,1994-01-01,1994,10.1111/j.1558-5646.1994.tb01366.x,NA,156,Journal,ar,Article,100,2,2,22104,undefined,1,TRUE,all,All Open Access,63,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028189663,SCOPUS_ID:0028189663,2-s2.0-0028189663,The effects of kin-structured colonization on nuclear and cytoplasmic genetic diversity,Wade M.J.,Evolution,00143820,48,4,1114-1120,1994-01-01,1994,10.1111/j.1558-5646.1994.tb05298.x,NA,37,Journal,ar,Article,100,3,3,22104,undefined,1,TRUE,all,All Open Access,64,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028189350,SCOPUS_ID:0028189350,2-s2.0-0028189350,"Quanitative genetics of sequential life-history and juvenile traits in the partially selfing perennial, Aquilegia caerulea",Montalvo A.M.,Evolution,00143820,48,3,828-841,1994-01-01,1994,10.1111/j.1558-5646.1994.tb01365.x,NA,34,Journal,ar,Article,100,2,2,22104,undefined,1,TRUE,all,All Open Access,65,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028189308,SCOPUS_ID:0028189308,2-s2.0-0028189308,Biochemical heterozygosity and morphologic variation in a colony of Papio hamadryas hamadryas baboons,Bamshad M.,Evolution,00143820,48,4,1211-1221,1994-01-01,1994,10.1111/j.1558-5646.1994.tb05306.x,NA,2,Journal,ar,Article,100,4,4,22104,undefined,1,TRUE,all,All Open Access,66,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028189164,SCOPUS_ID:0028189164,2-s2.0-0028189164,Hybridization of sympatric Patiriella species (Echinodermata: Asteroidea) in New South Wales,Byrne M.,Evolution,00143820,48,3,564-576,1994-01-01,1994,10.1111/j.1558-5646.1994.tb01344.x,NA,54,Journal,ar,Article,100,2,2,22104,undefined,0,FALSE,NA,NA,67,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028189108,SCOPUS_ID:0028189108,2-s2.0-0028189108,Hybridization and chloroplast DNA variation in a Pinus species complex from Asia,Wang Xiao-Ru ,Evolution,00143820,48,4,1020-1031,1994-01-01,1994,10.1111/j.1558-5646.1994.tb05290.x,NA,71,Journal,ar,Article,100,2,2,22104,undefined,0,FALSE,NA,NA,68,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028188936,SCOPUS_ID:0028188936,2-s2.0-0028188936,Heterozygote deficiencies under Levene's population subdivision structure,Santos M.,Evolution,00143820,48,3,912-920,1994-01-01,1994,10.1111/j.1558-5646.1994.tb01372.x,NA,9,Journal,ar,Article,100,1,1,22104,undefined,1,TRUE,all,All Open Access,69,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028188580,SCOPUS_ID:0028188580,2-s2.0-0028188580,A multilevel approach to the significance of genetic variation in alcohol dehydrogenase of Drosophila,Freriksen A.,Evolution,00143820,48,3,781-790,1994-01-01,1994,10.1111/j.1558-5646.1994.tb01361.x,NA,9,Journal,ar,Article,100,5,5,22104,undefined,1,TRUE,all,All Open Access,70,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028186317,SCOPUS_ID:0028186317,2-s2.0-0028186317,Assortative mating and the adaptive landscape,Williams S.M.,Evolution,00143820,48,3,868-875,1994-01-01,1994,10.1111/j.1558-5646.1994.tb01368.x,NA,10,Journal,ar,Article,100,2,2,22104,undefined,1,TRUE,all,All Open Access,71,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028183727,SCOPUS_ID:0028183727,2-s2.0-0028183727,A comparison of two sticklebacks,Day T.,Evolution,00143820,48,5,1723-1734,1994-01-01,1994,10.1111/j.1558-5646.1994.tb02208.x,NA,217,Journal,ar,Article,100,3,3,22104,undefined,1,TRUE,all,All Open Access,72,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028183726,SCOPUS_ID:0028183726,2-s2.0-0028183726,The effects of host genotype and spatial distribution on trematode parasitism in a bivalve population,Grosholz E.D.,Evolution,00143820,48,5,1514-1524,1994-01-01,1994,10.1111/j.1558-5646.1994.tb02193.x,NA,56,Journal,ar,Article,100,1,1,22104,undefined,1,TRUE,all,All Open Access,73,Red queen hypothesis,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028183441,SCOPUS_ID:0028183441,2-s2.0-0028183441,"Genetic, acclimatization, and ontogenetic effects on habitat selection behavior in Daphnia pulicaria",Leibold M.A.,Evolution,00143820,48,4,1324-1332,1994-01-01,1994,10.1111/j.1558-5646.1994.tb05316.x,NA,24,Journal,ar,Article,100,3,3,22104,undefined,0,FALSE,NA,NA,74,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028165415,SCOPUS_ID:0028165415,2-s2.0-0028165415,Turbinates in therapsids: Evidence for Late Permian origins of mammalian endothermy,Hillenius W.J.,Evolution,00143820,48,2,207-229,1994-01-01,1994,10.1111/j.1558-5646.1994.tb01308.x,NA,121,Journal,ar,Article,100,1,1,22104,undefined,1,TRUE,all,All Open Access,75,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028165405,SCOPUS_ID:0028165405,2-s2.0-0028165405,"DNA evolution and colonization sequence of island lizards in relation to geological history: MTDNA RFLP, cytochrome B, cytochrome oxidase, 12S rRNA sequence, and nuclear RAPD analysis",Thorpe R.S.,Evolution,00143820,48,2,230-240,1994-01-01,1994,10.1111/j.1558-5646.1994.tb01309.x,NA,128,Journal,ar,Article,100,4,4,22104,undefined,0,FALSE,NA,NA,76,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028165403,SCOPUS_ID:0028165403,2-s2.0-0028165403,Quantitative genetics of bryozoan phenotypic evolution. II.Analysis of selection and random change in fossil species using reconstructed genetic parameters,Cheetham A.,Evolution,00143820,48,2,360-375,1994-01-01,1994,10.2307/2410098,NA,39,Journal,ar,Article,100,3,3,22104,undefined,0,FALSE,NA,NA,77,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028163134,SCOPUS_ID:0028163134,2-s2.0-0028163134,speciation by reinforcement of premating isolation,Liou L.W.,Evolution,00143820,48,5,1451-1459,1994-01-01,1994,10.1111/j.1558-5646.1994.tb02187.x,NA,310,Journal,ar,Article,100,2,2,22104,undefined,1,TRUE,all,All Open Access,78,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028162943,SCOPUS_ID:0028162943,2-s2.0-0028162943,Virulence,Bull J.,Evolution,00143820,48,5,1423-1437,1994-01-01,1994,10.1111/j.1558-5646.1994.tb02185.x,NA,466,Journal,re,Review,100,1,1,22104,undefined,1,TRUE,all,All Open Access,79,Microparasite,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028162925,SCOPUS_ID:0028162925,2-s2.0-0028162925,"Heterozygosity, aggression, and population flucutations in meadow voles (Microtus pennsylvanicus)",Boonstra R.,Evolution,00143820,48,4,1350-1363,1994-01-01,1994,10.1111/j.1558-5646.1994.tb05318.x,NA,14,Journal,ar,Article,100,3,3,22104,undefined,1,TRUE,all,All Open Access,80,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028162896,SCOPUS_ID:0028162896,2-s2.0-0028162896,Historical biogeography of the bananquit (Coereba flaveola) in the Caribbean region: A mitochondrial DNA assessment,Seutin G.,Evolution,00143820,48,4,1041-1061,1994-01-01,1994,10.1111/j.1558-5646.1994.tb05292.x,NA,84,Journal,ar,Article,100,4,4,22104,undefined,0,FALSE,all,All Open Access,81,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028162882,SCOPUS_ID:0028162882,2-s2.0-0028162882,Natural selection and sexual size dimorphism in red-winged blackbirds,Weatherhead P.J.,Evolution,00143820,48,4,1071-1079,1994-01-01,1994,10.1111/j.1558-5646.1994.tb05294.x,NA,24,Journal,ar,Article,100,2,2,22104,undefined,0,FALSE,NA,NA,82,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028162880,SCOPUS_ID:0028162880,2-s2.0-0028162880,Differential costs of a secondary sexual character: An experimental test of the handicap principle,Moller A.P.,Evolution,00143820,48,5,1676-1683,1994-01-01,1994,10.2307/2410256,NA,112,Journal,ar,Article,100,2,2,22104,undefined,0,FALSE,NA,NA,83,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028162879,SCOPUS_ID:0028162879,2-s2.0-0028162879,Phylogenetic analysis of the evolution of alternative social behavior in the manakins (Aves: Pipridae),Prum R.O.,Evolution,00143820,48,5,1657-1675,1994-01-01,1994,10.1111/j.1558-5646.1994.tb02203.x,NA,100,Journal,ar,Article,100,1,1,22104,undefined,1,TRUE,all,All Open Access,84,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028162855,SCOPUS_ID:0028162855,2-s2.0-0028162855,The evolution of plumage brightness in birds is related to extrapair paternity,Moller A.P.,Evolution,00143820,48,4,1089-1100,1994-01-01,1994,10.1111/j.1558-5646.1994.tb05296.x,NA,226,Journal,ar,Article,100,2,2,22104,undefined,1,TRUE,all,All Open Access,85,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028162854,SCOPUS_ID:0028162854,2-s2.0-0028162854,Costs of reproduction influence the evolution of sexual size dimorphism in snakes,Madsen T.,Evolution,00143820,48,4,1389-1397,1994-01-01,1994,10.1111/j.1558-5646.1994.tb05323.x,NA,54,Journal,ar,Article,100,2,2,22104,undefined,1,TRUE,all,All Open Access,86,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028162841,SCOPUS_ID:0028162841,2-s2.0-0028162841,Sexual selection in American toads: A test of a good-genes hypothesis,Howard R.D.,Evolution,00143820,48,4,1286-1300,1994-01-01,1994,10.1111/j.1558-5646.1994.tb05313.x,NA,40,Journal,ar,Article,100,3,3,22104,undefined,1,TRUE,all,All Open Access,87,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028162827,SCOPUS_ID:0028162827,2-s2.0-0028162827,Long-term laboratory evolution of a genetic life-history trade-off in Drosophila melanogasterE. 1.The role of genotype-by-environment interaction,Leroi A.M.,Evolution,00143820,48,4,1244-1257,1994-01-01,1994,10.1111/j.1558-5646.1994.tb05309.x,NA,142,Journal,ar,Article,100,3,3,22104,undefined,0,FALSE,NA,NA,88,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028162826,SCOPUS_ID:0028162826,2-s2.0-0028162826,Sex allocation in the ant Colobopsis nipponicus (Wheeler). I.Population sex ratio,Hasegawa E.,Evolution,00143820,48,4,1121-1129,1994-01-01,1994,10.1111/j.1558-5646.1994.tb05299.x,NA,22,Journal,ar,Article,100,1,1,22104,undefined,0,FALSE,NA,NA,89,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028162825,SCOPUS_ID:0028162825,2-s2.0-0028162825,Evolution of incompatibility-inducing microbes and their hosts,Turelli M.,Evolution,00143820,48,5,1500-1513,1994-01-01,1994,10.1111/j.1558-5646.1994.tb02192.x,NA,310,Journal,ar,Article,100,1,1,22104,undefined,1,TRUE,all,All Open Access,90,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028162824,SCOPUS_ID:0028162824,2-s2.0-0028162824,Risk of population extinction from fixation of new deleterious mutations,Lande R.,Evolution,00143820,48,5,1460-1469,1994-01-01,1994,10.1111/j.1558-5646.1994.tb02188.x,NA,342,Journal,ar,Article,100,1,1,22104,undefined,1,TRUE,all,All Open Access,91,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028162822,SCOPUS_ID:0028162822,2-s2.0-0028162822,Long-term laboratory evolution of a genetic life-history trade-off in Drosophila melanogaster. 2.Stability of genetic correlations,Leroi A.M.,Evolution,00143820,48,4,1258-1268,1994-01-01,1994,10.1111/j.1558-5646.1994.tb05310.x,NA,62,Journal,ar,Article,100,3,3,22104,undefined,1,TRUE,all,All Open Access,92,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028162820,SCOPUS_ID:0028162820,2-s2.0-0028162820,Evidence that the magnitude of the trade-off in a dichotomous trait is frequency dependent,Roff D.A.,Evolution,00143820,48,5,1650-1656,1994-01-01,1994,10.1111/j.1558-5646.1994.tb02202.x,NA,41,Journal,ar,Article,100,1,1,22104,undefined,1,TRUE,all,All Open Access,93,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028162819,SCOPUS_ID:0028162819,2-s2.0-0028162819,Fitness sensitivity and the canalization of life-history traits,Stearns S.C.,Evolution,00143820,48,5,1438-1450,1994-01-01,1994,10.1111/j.1558-5646.1994.tb02186.x,NA,188,Journal,ar,Article,100,2,2,22104,undefined,0,FALSE,NA,NA,94,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028162817,SCOPUS_ID:0028162817,2-s2.0-0028162817,Female-biased sex ratios in a facultatively social bee and their implications for social evolution,Schwarz M.P.,Evolution,00143820,48,5,1684-1697,1994-01-01,1994,10.1111/j.1558-5646.1994.tb02205.x,NA,54,Journal,ar,Article,100,1,1,22104,undefined,0,FALSE,NA,NA,95,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028162791,SCOPUS_ID:0028162791,2-s2.0-0028162791,"Divergence in morphology and mating signals, and assortative mating among populations of Chorthippus parallelus (Orthoptera: Acrididae)",Dagley J.R.,Evolution,00143820,48,4,1202-1210,1994-01-01,1994,10.1111/j.1558-5646.1994.tb05305.x,NA,15,Journal,ar,Article,100,3,3,22104,undefined,1,TRUE,all,All Open Access,96,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028162789,SCOPUS_ID:0028162789,2-s2.0-0028162789,Multiple colonizations of Asplenium adiantum-nigrum onto the Hawaiian archipelago,Ranker T.A.,Evolution,00143820,48,4,1364-1370,1994-01-01,1994,10.1111/j.1558-5646.1994.tb05319.x,NA,44,Journal,ar,Article,100,3,3,22104,undefined,1,TRUE,all,All Open Access,97,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028162787,SCOPUS_ID:0028162787,2-s2.0-0028162787,Evolution of the pygmy-forest edaphic subspecies of Pinus contorta across an ecological staircase,Aitken S.N.,Evolution,00143820,48,4,1009-1019,1994-01-01,1994,10.1111/j.1558-5646.1994.tb05289.x,NA,35,Journal,ar,Article,100,2,2,22104,undefined,1,TRUE,all,All Open Access,98,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028162759,SCOPUS_ID:0028162759,2-s2.0-0028162759,The significance of genetic erosion in the process of extinction. IV.Inbreeding load and heterosis in relation to population size in the mint Salvia pratensis,Ouborg N.J.,Evolution,00143820,48,4,996-1008,1994-01-01,1994,10.1111/j.1558-5646.1994.tb05288.x,NA,87,Journal,ar,Article,100,2,2,22104,undefined,1,TRUE,all,All Open Access,99,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028162723,SCOPUS_ID:0028162723,2-s2.0-0028162723,Effects of maternal and paternal environment and genotype on offspring phenotype in Solidago altissima L.,Schmid B.,Evolution,00143820,48,5,1525-1549,1994-01-01,1994,10.1111/j.1558-5646.1994.tb02194.x,NA,140,Journal,ar,Article,100,2,2,22104,undefined,1,TRUE,all,All Open Access,100,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028162722,SCOPUS_ID:0028162722,2-s2.0-0028162722,Genotype-by-environment interactions for fitness of Erigeron annuus show fine-scale selective heterogeneity,Stratton D.A.,Evolution,00143820,48,5,1607-1618,1994-01-01,1994,10.1111/j.1558-5646.1994.tb02199.x,NA,69,Journal,ar,Article,100,1,1,22104,undefined,0,FALSE,NA,NA,101,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028162716,SCOPUS_ID:0028162716,2-s2.0-0028162716,Evidence for long-distance pollen dispersal in milkweeds (Asclepias exaltata),Broyles S.B.,Evolution,00143820,48,4,1032-1040,1994-01-01,1994,10.1111/j.1558-5646.1994.tb05291.x,NA,51,Journal,ar,Article,100,3,3,22104,undefined,1,TRUE,all,All Open Access,102,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028162715,SCOPUS_ID:0028162715,2-s2.0-0028162715,Population genetic structure of Cecropia obtusifolia a tropical pioneer tree species,Alvarez-Buylla E.R.,Evolution,00143820,48,2,437-453,1994-01-01,1994,10.1111/j.1558-5646.1994.tb01322.x,NA,97,Journal,ar,Article,100,2,2,22104,undefined,0,FALSE,NA,NA,103,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028162712,SCOPUS_ID:0028162712,2-s2.0-0028162712,Inbreeding depression in partially self-fertilizing Decodon verticillatus (Lythraceae): Population-genetic and experimental analyses,Eckert C.G.,Evolution,00143820,48,4,952-964,1994-01-01,1994,10.1111/j.1558-5646.1994.tb05285.x,NA,148,Journal,ar,Article,100,2,2,22104,undefined,1,TRUE,all,All Open Access,104,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028162705,SCOPUS_ID:0028162705,2-s2.0-0028162705,The quantitative genetics of sexual dimorphism in Silene latifolia (Caryophyllaceae). II.Response to sex-specific selection,Meagher T.R.,Evolution,00143820,48,4,939-951,1994-01-01,1994,10.1111/j.1558-5646.1994.tb05284.x,NA,63,Journal,ar,Article,100,1,1,22104,undefined,1,TRUE,all,All Open Access,105,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028162612,SCOPUS_ID:0028162612,2-s2.0-0028162612,Evolutionary ecology of Datura stramonium L. in central Mexico: Natural selection for resistance to herbivorous insects,Nunez-Farfan J.,Evolution,00143820,48,2,423-436,1994-01-01,1994,10.1111/j.1558-5646.1994.tb01321.x,NA,70,Journal,ar,Article,100,2,2,22104,undefined,1,TRUE,all,All Open Access,106,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028162610,SCOPUS_ID:0028162610,2-s2.0-0028162610,The significance of outcrossing in an intimate plant-herbivore relationship. I.Does outcrossing provide an escape from herbivores adapted to the parent plant?,Strauss S.Y.,Evolution,00143820,48,2,454-464,1994-01-01,1994,10.1111/j.1558-5646.1994.tb01323.x,NA,44,Journal,ar,Article,100,2,2,22104,undefined,1,TRUE,all,All Open Access,107,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028162606,SCOPUS_ID:0028162606,2-s2.0-0028162606,The significance of outcrossing in an intimate plant-herbivore relationship. II.Does outcrossing pose a problem for thrips adapted to the host-plant clone?,Strauss S.Y.,Evolution,00143820,48,2,465-476,1994-01-01,1994,10.1111/j.1558-5646.1994.tb01324.x,NA,13,Journal,ar,Article,100,2,2,22104,undefined,0,FALSE,NA,NA,108,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028162479,SCOPUS_ID:0028162479,2-s2.0-0028162479,Breeding competition in a Pacific salmon (coho: Oncorhynchus kisutch): Measures of natural and sexual selection,Fleming I.A.,Evolution,00143820,48,3,637-657,1994-01-01,1994,10.1111/j.1558-5646.1994.tb01350.x,NA,281,Journal,ar,Article,100,2,2,22104,undefined,0,FALSE,NA,NA,109,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028162151,SCOPUS_ID:0028162151,2-s2.0-0028162151,On the evolutionary consequences of sexual imprinting,Laland K.N.,Evolution,00143820,48,2,477-489,1994-01-01,1994,10.1111/j.1558-5646.1994.tb01325.x,NA,136,Journal,ar,Article,100,1,1,22104,undefined,1,TRUE,all,All Open Access,110,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028162150,SCOPUS_ID:0028162150,2-s2.0-0028162150,the evolution of mate preferences for multiple sexual ornaments,Iwasa Y.,Evolution,00143820,48,3,853-867,1994-01-01,1994,10.1111/j.1558-5646.1994.tb01367.x,NA,243,Journal,ar,Article,100,2,2,22104,undefined,1,TRUE,all,All Open Access,111,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028161859,SCOPUS_ID:0028161859,2-s2.0-0028161859,Sexual size dimorphism and egg-size allometry in birds,Weatherhead P.J.,Evolution,00143820,48,3,671-678,1994-01-01,1994,10.1111/j.1558-5646.1994.tb01352.x,NA,22,Journal,ar,Article,100,2,2,22104,undefined,1,TRUE,all,All Open Access,112,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028161857,SCOPUS_ID:0028161857,2-s2.0-0028161857,Historical examination of delayed plumage maturation in the shorebirds (Aves: Charadriiformes),Chu P.C.,Evolution,00143820,48,2,327-350,1994-01-01,1994,10.1111/j.1558-5646.1994.tb01315.x,NA,25,Journal,ar,Article,100,1,1,22104,undefined,1,TRUE,all,All Open Access,113,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028161845,SCOPUS_ID:0028161845,2-s2.0-0028161845,"Evolution of parasitism among closely related species: Phylogenetic relationships and the origin of inquilinism in gall wasps (Hymenoptera, Cynipidae)",Ronquist F.,Evolution,00143820,48,2,241-266,1994-01-01,1994,10.1111/j.1558-5646.1994.tb01310.x,NA,148,Journal,ar,Article,100,1,1,22104,undefined,1,TRUE,all,All Open Access,114,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028161829,SCOPUS_ID:0028161829,2-s2.0-0028161829,Variable selection on Eurosta's gall size. II.A path analysis of the ecological factors behind selection,Weis A.E.,Evolution,00143820,48,3,734-745,1994-01-01,1994,10.1111/j.1558-5646.1994.tb01357.x,NA,31,Journal,ar,Article,100,2,2,22104,undefined,1,TRUE,all,All Open Access,115,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028161820,SCOPUS_ID:0028161820,2-s2.0-0028161820,Mating pattern and fitness-component analysis associated with inversion polymorphism in a natural population of Drosophila buzzatii,Barbadilla A.,Evolution,00143820,48,3,767-780,1994-01-01,1994,10.1111/j.1558-5646.1994.tb01360.x,NA,15,Journal,ar,Article,100,4,4,22104,undefined,1,TRUE,all,All Open Access,116,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028161802,SCOPUS_ID:0028161802,2-s2.0-0028161802,Sperm displacement without sperm transfer in Drosophila melanogaster,Harshman L.G.,Evolution,00143820,48,3,758-766,1994-01-01,1994,10.1111/j.1558-5646.1994.tb01359.x,NA,164,Journal,ar,Article,100,2,2,22104,undefined,0,FALSE,NA,NA,117,NA,NA,NA
true,https://api.elsevier.com/content/abstract/scopus_id/0028161783,SCOPUS_ID:0028161783,2-s2.0-0028161783,"Genetic variability, queen number, and polyandry in social Hymenoptera",Keller L.,Evolution,00143820,48,3,694-704,1994-01-01,1994,10.1111/j.1558-5646.1994.tb01354.x,NA,140,Journal,ar,Article,100,2,2,22104,undefined,0,FALSE,NA,NA,118,NA,NA,NA
